State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
"(9, 16)",17304761.15621302,17048057.484775763,16679026.45575419,16580079.592226833,16225667.902239466,15884442.267417366,15469835.475495929,15015612.64930735,14618738.717054749,14182987.914273739,13704896.523391575,13142864.732854947,12631165.448017126,12125525.173134455,11639706.285605026,11051445.934214232,10615848.585061798,9971877.802214699,9734442.918340836,9339691.952906111,8781420.168594016,8542264.741074217,8267952.862815718,7854655.129852195,7449217.509371101,6943302.077393018,6669026.309670546,6238676.797659294,5803713.507501483,5394440.771272006,4960634.330126357,4608813.323323595,4256242.447966909,3912601.1523334663,3610790.3076093215,3275967.6676799296,3014268.8737626313,2698676.7831027266,2325786.270497296,2385952.5433039726,2242475.672838565,1991150.6934268184,1709770.0407273455,1448243.264683877,1193301.5208751345,919131.5683103105,705832.3629641244,431778.60911718366,337042.3864263137,105368.56421006809,13324.420159800144
"(9, 20)",17323232.51173702,17082809.14121899,16503238.11203702,16491588.066706894,16155004.745359207,15859996.301577367,15466622.94371193,14740513.6816129,14643460.827998752,14187974.778153742,13531121.071512854,12911125.818692291,12460191.18375588,11935217.086840726,11563798.873377621,11041301.479214208,10625204.1300618,9897485.574870558,9716059.463231185,9351447.497906113,8704996.23287544,8498004.874724256,8236533.719560183,7811284.380963986,7389273.054371101,6832546.210330732,6682930.192746547,6263165.474547296,5730019.181943054,5303652.170826789,4713626.8375062505,4619419.0194075955,4169744.8973259684,3923056.395165467,3429813.9252374372,3240038.72103593,3009175.1741826325,2706208.5422440446,2507162.716809458,2410584.974732703,2268994.9784212294,2020494.5440748502,1746746.646226967,1293340.295683876,1094114.7511819059,771993.1400072199,556763.4323561237,293572.45858983306,253750.9482375217,89234.5453457414,13324.420159800144
"(18, 0)",17265953.267093018,16982557.85489569,16611881.808730194,16513351.662230834,16284788.514699467,15812297.01605737,15397273.507107934,14966803.551515354,14547010.182722753,14127094.627005743,13668172.21941158,13141978.093282953,12648604.622573638,12258435.349172227,11814416.624726303,11271224.963446861,10759381.068924291,10114592.622189699,9877157.738315837,9482406.772881113,8927226.97434363,8640630.066100277,8318348.698713037,7912070.050822561,7531653.168253136,7059096.205661021,6608549.1350945495,6187784.114727297,5749487.088345487,5324379.105052009,4939745.273210359,4569588.717175598,4203266.179894911,3864208.771569468,3559480.9076493233,3270080.4237719327,2988379.2125106356,2703624.1819227287,2543456.1677717273,2534863.300670162,2303679.8704385664,2068153.666668971,1634174.336115346,1380162.4438417538,1123713.3142548974,919137.315002034,757067.3559699262,607237.6423611859,441497.62695969595,269363.61006752023,130232.22180866404
"(18, 4)",17263024.1831743,17191145.568740472,16513237.353730192,16554603.785594834,16170908.207261572,15713652.561057368,15349885.24655193,14868159.096515352,14448365.727722751,14221277.000171484,13743298.765087575,13145846.027170949,12549960.167573662,12159790.894172221,11715772.169726303,11172299.253376765,10659918.950036796,10015948.1671897,9886155.592278661,9485770.310704147,8942542.34714544,8598716.227350218,8369604.95342772,7933074.088576199,7520702.731871106,6993054.16800502,6805078.336699055,6231870.276483295,5650842.6333454875,5317909.374532008,4841100.81821036,4658230.190283966,4104621.724894911,4053589.989704029,3749828.038199384,3243424.992935932,2946891.5562906344,2549139.645170729,2293346.6174332965,2390072.641163958,2177782.2466541207,2134317.369799615,1847313.1171751928,1380162.4438417538,1152456.2191082647,911625.5352527915,763474.3167487265,607557.2503953858,342154.56206494017,245500.99229335217,130232.22180866404
"(18, 8)",17068664.357093018,17120728.099942993,16414592.898730194,16316062.752230836,15971235.55388747,15615008.10605737,15391674.42998793,14769514.641515354,14349721.272722753,13929805.717005743,13643404.159003576,13118460.183958948,12451315.712573627,12061146.439172216,11617127.7147263,11073654.798376763,10561274.495036798,9917303.712189699,9679868.828315837,9285117.862881113,8724832.917864017,8465770.563678218,8165119.81233972,7735655.815600199,7332301.780259106,6861807.295661021,6411260.225094549,5990495.204727297,5552198.178345486,5127090.195052008,4742456.363210359,4372299.807175598,4005977.269894911,3666919.861569468,3406364.0026173224,3072791.5137719326,2940691.715562633,2450495.190170729,2194702.1624332964,2113184.645719975,1975541.813646567,2056813.20063085,1780620.9046232179,1328825.5181838789,1090020.3973199755,856801.3308217566,706899.3705303516,456230.04512671503,243510.1070649404,153519.8147086016,66767.72518067167
"(18, 12)",17143374.18574102,16876252.58860376,16315948.443730192,16419109.338782832,16005940.547847467,15583455.092565367,15223854.94833993,14845057.904219352,14453601.293330751,14019100.64163374,13372238.85441158,13012314.822454946,12403717.770128354,11962501.98417223,11518483.259726303,10975010.343376765,10462630.040036798,9818659.2571897,9581224.373315835,9186473.407881113,8626188.462864015,8367126.108678218,8046975.35733972,7640761.813852199,7251576.157463106,6782331.82394902,6499304.998638545,6076039.676103294,5638992.800805484,5229720.0645760065,4800497.510738357,4448259.786907596,4092771.892354909,3749130.5967214666,3448986.620109322,3112913.8290959313,2860799.5268226326,2532289.2082947264,2164816.0170532963,2083298.5003399744,2081088.7023665663,1829763.7229548201,1537965.144555346,1239200.3949459882,975239.3193751355,758156.8758217565,608254.9155303505,358551.63211274723,178476.05873237806,127330.07444388204,13324.420159800144
"(18, 16)",17044313.013713017,16777608.133603763,16217303.988730192,16320048.166754832,15960219.155403465,15616493.218413366,15067703.543475932,14749747.18544335,14354540.121302752,13918372.601493739,13273594.39941158,12747400.273282953,12288833.732890414,11863857.529172227,11419838.804726303,10876365.888376765,10363985.585036797,9720014.8021897,9482579.918315835,9087828.952881113,8526644.007864017,8260564.030146218,8008338.154371719,7542117.358852197,7188769.366871104,6683687.368949021,6401493.977694546,5918221.403127294,5537431.326609484,5128575.307408006,4701019.621682357,4349615.3319075955,3936620.487490909,3650486.141721466,3350342.1651093215,3013435.9400399304,2750903.7120666313,2436561.7724907263,2065754.845025296,1983403.8942559743,1982860.9643945654,1732369.4190388185,1439320.6895553442,1181961.0837918767,724494.8643751364,507412.4208217563,357510.4605303516,255647.75061295382,187570.9739231783,44742.74461888256,13324.420159800144
"(18, 20)",16779347.536904726,16823361.300886992,16140971.925628839,16026691.763888845,15682152.072259938,15322681.643547023,15002873.445157891,14479836.486688392,14060724.479772905,13639607.311323112,13177916.743032739,12650666.134791063,12156847.87623412,11775160.415644055,11325159.035654241,10867421.433376765,10266930.062910518,9645622.574845558,9395174.553925877,8993936.11746536,8450220.072145442,8167673.175493852,7833418.7976457225,7426611.757971104,7041689.201139546,6572269.620402426,6122374.722888205,5699650.251279178,5261613.503189421,4838788.675400254,4453171.503825485,4083423.994338188,3718908.9292709115,3380531.521529102,3074926.654184243,2787071.8302722475,2578134.75970524,2164840.8217175235,2028893.7493069635,2044773.5274970687,1690381.224705477,1760046.4015748503,1485881.786698966,1032892.153183878,777950.409375138,560867.965821756,410966.00553035084,191969.60601220783,104943.73960869895,26063.001918149104,13324.420159800144
"(27, 0)",17005505.12459302,16722141.74963122,16428490.431075068,16252903.519730836,15908076.32138747,15551848.873557368,15136825.364607936,14706355.409015352,14286562.040222751,13866646.484505743,13407724.076911578,13010005.847667767,12555548.484666295,12015049.315282883,11562553.6247013,11019361.96342186,10507518.068899294,9870579.37304467,9625294.738290837,9230543.77285611,8678393.954602918,8385712.148765377,8056087.698012383,7652344.281666526,7270829.367939606,6798648.06316102,6348100.99259455,5927335.972227298,5489038.945845487,5063930.962552008,4679297.130710359,4309140.574675597,3942818.037394911,3603760.6290694675,3299032.7651493233,3009632.281271932,2727931.0700106355,2387335.957670729,2131542.9299332947,2124307.085597569,1912382.5811465664,1740455.395976884,1373726.193615346,1212930.7302919736,1058244.9507626279,911376.2409861154,754544.522214725,607253.0308961658,441497.62695969595,269341.4742518182,130232.22180866404
"(27, 4)",16906860.66959302,16930697.42624047,16362428.627563091,16154259.064730836,15809431.86638747,15453204.41855737,15038180.909607932,14607710.954015354,14187917.58522275,13869181.640646122,13309079.62191158,12911361.392667769,12456904.029666295,11916404.860282883,11463909.169701302,10920436.253351765,10408055.9500118,9764085.1671647,9562578.106350148,9166157.129750054,8645801.212134017,8338034.650794218,8057436.46788372,7552182.8426442,7170498.092759105,6700003.608161021,6249456.537594549,5828691.517227297,5390394.4908454865,4965286.507552009,4580652.675710359,4210496.119675598,3844173.582394911,3601984.2780508436,3200388.310149323,2982976.8504359326,2629286.6150106355,2288691.502670729,2032898.4749332946,2163879.1438661586,1813738.1261465664,1874285.9443276152,1587709.5305644393,1210737.161528375,1062495.4712774595,911625.5352527915,763474.3167487265,588105.4059913716,342154.56206494017,245971.85986371376,130232.22180866404
"(27, 8)",16808216.21459302,16860346.52338699,16224153.21693419,16055614.609730834,15710787.411387468,15354559.96355737,14939536.454607934,14509066.499015354,14089273.130222753,13669357.57450574,13210435.16691158,12812716.937667772,12358259.574666297,11817760.405282883,11365264.714701302,10821791.798351765,10309411.495011799,9665440.712164698,9428005.828290837,9033254.862856112,8470056.757134017,8180319.399498217,7856001.477879721,7453538.387644199,7071853.637759107,6601359.153161022,6150812.082594548,5730047.062227298,5291750.0358454855,4866642.052552008,4482008.2207103595,4111851.664675597,3745529.127394911,3406471.7190694674,3101743.855149323,2812343.371271932,2530642.160010636,2190047.047670729,1934254.0199332947,1852736.5032199712,1715093.6711465667,1476270.2025748224,1176137.2836153468,1159400.2358705003,1009605.8692983239,850832.3377964668,700717.242593685,514730.7073679758,251665.5118225621,153519.8147086016,66767.72518067167
"(27, 12)",16709571.759593023,16424531.330251766,16125508.761934191,15956970.154730836,15612142.95638747,15255915.50855737,14840891.999607934,14410422.044015354,13990628.675222754,13570713.119505743,13111790.71191158,12714072.482667753,12259615.119666295,11719115.950282881,11266620.259701302,10723147.343351765,10210767.040011799,9566796.2571647,9329361.373290837,8934610.407856112,8371412.302134016,8081674.944498216,7757357.02287972,7354893.9326442,6973209.182759106,6502714.698161021,6052167.627594549,5631402.607227297,5193105.580845486,4767997.597552009,4383363.7657103585,4013207.209675597,3646884.672394911,3307827.264069468,3003099.400149323,2713698.916271932,2431997.705010636,2091402.5926707287,1835609.5649332947,1754092.0482199711,1616449.2161465667,1377625.7475748225,1077492.8286153467,1060755.7808705,910479.4718235637,752187.8827964665,602072.7875936845,352992.8361552313,178476.05873237806,127330.07444388204,13324.420159800144
"(27, 16)",16610927.304593021,16325886.875251764,15956855.846230188,15858325.699730836,15513498.50138747,15157271.053557368,14742247.544607932,14311777.589015352,13891984.22022275,13472068.66450574,13013146.256911581,12615428.027667776,12160970.664666295,11620471.495282881,11167975.8047013,10624502.888351765,10112122.585011797,9468151.802164698,9230716.918290837,8835965.95285611,8271867.8471340155,7983030.489498217,7658712.567879719,7256249.477644199,6874564.727759105,6404070.243161022,5953523.17259455,5532758.152227297,5094461.125845486,4669353.142552008,4284719.310710358,3914562.754675597,3548240.2173949108,3209182.8090694672,2904454.945149323,2615054.461271932,2333353.2500106343,1992758.1376707281,1736965.1099332946,1655447.593219971,1517804.7611465661,1278981.292574821,978848.373615345,810011.325870499,662248.1598707895,507412.4208217563,357510.4605303516,255641.7973679759,187570.9739231783,44742.74461888256,13324.420159800144
"(27, 20)",16518899.394404726,16564413.158386992,15950579.593171233,15766243.621388845,15421699.579539476,15062134.95523648,14648100.455592873,14219388.344188392,13800276.337272905,13379159.168823114,12917468.60053274,12518693.889175879,12063787.299326336,11531774.381754696,11073296.03562924,10527591.189840874,10015060.848284854,9393759.574820558,9143311.553900877,8742073.11744036,8195443.91141544,7907225.032993852,7575912.593019511,7166163.615471105,6781241.058639546,6311748.885447991,5861926.580388204,5439202.108779177,5001165.360689421,4578340.532900255,4192723.361325484,3822951.8812356223,3458457.324350541,3120047.9558053124,2814455.4288817733,2526623.6877722465,2238653.8358606766,1904392.6792175237,1660896.9010201737,1575336.909845151,1429933.0822054765,1500131.6931308506,1225016.927170966,863466.8708704993,714683.2067943563,554898.9727964661,404783.87759368477,202220.37301150642,104943.73960869895,26063.001918149104,13324.420159800144
