State,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"(9, 12)",2378777.493117341,1893240.418220272,1478874.4760936396,1199613.3049250303,1106043.5310089595,1165017.9993207352,1409112.6393373471,1710268.2933749019,2208605.895307097,2536242.940628931,2740007.412506217,2694577.983036534,2463287.107889568,2098077.481283846,1658967.4244127015,1314767.4069664786,964651.5061632055,672734.2096418188,397442.3458900194,176583.63489041224,36208.87549032491,2294.0485665126457,0.0
"(9, 16)",2127186.960369376,1653241.4694272624,1257770.384834885,1004070.4726972051,918107.5060531051,974348.5256978709,1203623.2560161906,1490153.3470403021,1968490.0170956983,2285916.8841549563,2484038.8681179965,2437509.440250611,2207383.4816636164,1845358.1435239238,1414026.8985139877,1075807.4670665795,743796.2437777154,473995.80117277143,237880.7390564484,77901.93298808359,3781.968050672957,2294.0485665126457,0.0
"(9, 20)",1885292.4794154873,1423210.2561560657,1052239.631577456,826169.5293100643,751830.5029455874,803468.9748771002,1012956.3777151058,1280342.1128751629,1734955.9212735433,2039742.3468867627,2230303.840495058,2182419.8924277965,1954004.8068264683,1597091.3945346125,1177621.0893430212,849463.7730856716,543767.9286118639,306331.65770570445,122795.36599294757,26146.256824427208,2294.0485665126466,2294.0485665126457,0.0
"(18, 0)",2632316.804396233,2193960.8579101674,1863284.076119414,1657907.4372870154,1581800.1283363656,1610778.841138904,1777210.829814531,2010271.3990617476,2445607.1549000237,2749809.968232719,2942232.710343338,2887737.5387367415,2646045.778940977,2269146.861636435,1815701.2238113517,1460060.61300305,1093776.5716120254,785666.3761592451,490343.8664629675,244250.77852860888,70960.10666205177,2294.0485665126457,0.0
"(18, 4)",2354712.0987459696,1920707.6997843657,1594300.650332485,1392171.808338423,1317230.0658862912,1344924.1969279593,1505872.9320542424,1731913.8651337135,2155973.7821562127,2452521.9962588046,2640575.09699632,2585221.984635499,2344384.5282901498,1970217.186048294,1524236.357001889,1173844.9549138923,824051.3715287589,543271.3840233111,292185.75471720175,108855.58481390461,9462.412924172493,2294.0485665126457,0.0
"(18, 8)",2086974.16410407,1655656.330578209,1333682.3325947258,1137636.952174096,1065620.249788796,1091507.057429729,1244426.697072018,1461599.8103080706,1871103.823068559,2159566.6532474845,2341539.362227688,2285225.0657192217,2046058.8552898306,1685823.754957295,1261895.5929296177,929400.3794685119,613665.1137470528,363234.833793815,160310.502862657,39618.15823851593,2294.0485665126466,2294.0485665126457,0.0
"(18, 12)",1830191.7196510362,1405141.5288324528,1096427.417209093,922293.2552104725,857814.3606038756,882410.7353907753,1023712.4063922373,1223845.7712764107,1609495.4350808866,1888390.8682887119,2069621.8332813191,2020702.7759628198,1793813.3149854033,1441482.475857177,1032676.0153484954,714301.6758140799,429911.3786401667,218075.3433742969,71698.01583838397,8802.882197946241,2294.0485665126466,2294.0485665126457,0.0
"(18, 16)",1586514.0634064628,1186376.011596772,908532.7318111244,746302.7711025068,686052.8860113911,708587.0388188428,839410.644132422,1026159.8842415403,1388124.3554632724,1651596.3794521666,1822282.018847342,1771251.9753914727,1548097.1600087865,1205772.9382180336,817683.2882694474,521450.4003790066,279435.03457133274,115584.03691363333,25430.77374176664,2301.575658654883,2294.0485665126466,2294.0485665126457,0.0
"(18, 20)",1363861.9511394207,986323.7962855641,729113.5172621558,588261.7226184526,539271.4059692861,559698.3007293944,674422.9453921478,845012.1362792526,1179247.134547952,1423275.0934017652,1581075.2176827108,1527630.346960848,1309600.3250430177,981606.2336244863,621354.7354443768,356014.20126221323,162034.2915603853,49328.1862227832,5905.040124133501,2294.0485665126466,2294.0485665126466,2294.0485665126457,0.0
"(27, 0)",2193074.7314259526,1852475.6636865954,1624522.1865303488,1470033.609171269,1411695.6906761236,1412981.115662094,1485409.536138729,1607589.7380103646,1891213.5054609478,2116238.083459927,2267237.988959499,2209585.2190273036,1970777.2024453324,1602670.816637863,1172126.3891301586,833735.5937864821,522395.86228298274,285001.32942661626,109169.53396413343,20641.948708882945,2294.0485665126466,2294.0485665126457,0.0
