State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"(9, 16)",2905013.0892413063,4446072.375021605,4362479.085311725,4251826.337716193,4213879.1117755715,4053017.878889861,3854507.183304332,3722561.6416345215,3553527.2045810446,3463066.611871411,3262530.1136856647,3071791.9585067625,2937593.4552015816,2811863.107875643,2629362.139175213,2440656.1060871007,2317897.497689932,2234358.792794095,2090918.0173651625,2018069.18730945,1899710.8124582283,1811915.6863415644,1713320.2963792116,1557960.038156534,1378948.1585818497,1226499.6122263656,1110446.5060143408,959887.2316803172,806549.2001600957,670787.4224448611,557791.9143363808,432066.77680782264,349790.2003042713,294727.73509298253,253885.29417733112,205472.27505761143,173906.28938215686,164485.4483841267,167987.18555844302,153208.13244927156,115045.53634227859,110131.3080503577,82458.56471219851,52505.49712659341,26938.839629131824,12904.617908643551,2204.539129137539,0.0,0.0,0.0,0.0,0.0
"(9, 20)",2905013.0892413063,4272127.200263937,4191566.090740805,4077777.2796926918,4042587.8678602674,3885921.146599577,3689694.271289776,3560737.5872230874,3391948.2195546227,3301643.8889861736,3101444.775143257,2911509.5243745428,2778200.0591966556,2653522.7777763177,2472034.0530629,2285112.134930051,2163857.506159061,2081401.6497983665,1940365.1157408387,1868644.884807604,1753628.0663872287,1668262.219637765,1574660.1956819298,1425933.46202529,1250004.2600547213,1099827.7193225943,984587.7309066448,836558.4543592699,687192.1138976899,559296.3369723068,453537.38123416604,344712.6446485965,270066.9158878344,219310.36620225356,182933.0835390309,140945.66229071302,114003.33527012538,105536.90502671323,107575.98230375955,94266.21556373037,63376.48143082983,54122.21039723543,32504.51468212367,15932.11555918492,4814.577159180182,1211.2580880130015,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 0)",2905013.0892413063,4760755.287979721,4675890.845700256,4568375.276352984,4531250.926589183,4369435.885819787,4169693.0829671486,4036624.859842947,3862958.8860394517,3767265.42629443,3562390.5817034715,3367719.816508776,3230442.501990879,3102090.8364153327,2915916.2711445293,2723644.1563991653,2597248.6242715684,2511166.7117169374,2365762.6352943596,2291164.8159998744,2168001.7132515283,2075239.4585358805,1971591.437532787,1807207.7305766616,1618090.9685619562,1458245.9261884142,1336834.3059943488,1178166.6858598203,1012680.8622278335,867670.5060947757,747747.6447204989,615035.5634028309,516414.68338540354,449376.61565195647,398141.83589177986,337379.14656251855,296368.14000089763,283834.0670030152,287352.4391654315,269861.7454302256,224397.17437315028,223792.7263453072,192593.8397148973,156286.7266331261,108223.46563729286,79920.61773407573,42094.514065563184,18071.042077859904,2229.395613809361,0.0,0.0,0.0
"(18, 4)",2905013.0892413063,4584951.191797754,4503478.9745524395,4388289.629405601,4349908.927602973,4188302.4628205276,3989817.6069279527,3856096.6789469123,3681980.255843642,3584925.69564341,3380366.7202845663,3186057.3139806786,3048990.634149693,2921363.0970822573,2736261.8941572793,2546229.2609674498,2423115.02305471,2338733.813424309,2196170.7007372985,2122518.2294675023,2001360.5868689292,1910223.6509619518,1808024.8184208157,1648445.8448948741,1464447.8683417554,1307100.1951874127,1186132.440410412,1028686.1863161146,870444.5815906819,735336.0518441607,624898.6404768017,497254.63640109857,406892.9138043275,344173.1244501007,297647.8897726387,242189.08594335624,206620.42680829362,195508.70373663987,199144.89983159475,183887.22911057645,141920.61424357988,137875.6963184463,107942.24071534238,74592.14018249334,42418.02836122348,25912.492684542878,8312.314385504566,662.822972473083,0.0,0.0,0.0,0.0
"(18, 8)",2905013.0892413063,4411478.756347412,4331067.103404621,4211259.913842538,4169878.7485218733,4009173.9676018455,3812752.054719611,3678088.9049012074,3503288.378603139,3405310.5098601496,3201184.880112822,3007310.351503455,2870896.9037187593,2743876.5006092875,2560140.1591629884,2375103.946060146,2256384.105767929,2173713.2655163095,2032448.5560809965,1959814.062325929,1840479.4582845892,1750869.453543231,1652235.0053856769,1495001.1149075541,1313804.384210131,1160196.1125616606,1042507.5943136297,890096.7163879046,738897.4497370634,612271.5898798732,506874.2650475738,388826.0785599374,305740.73966661526,248495.60137285068,208697.0397379621,163888.50920054602,134971.56006666087,126757.42560099557,128941.45483717215,114720.02262347548,80828.90633540595,73860.45507544387,49496.804079386355,27242.243399112096,10872.59974504881,4014.075074274476,268.93556894241556,0.0,0.0,0.0,0.0,0.0
"(18, 12)",2905013.0892413063,4239066.885199595,4158655.2322568037,4035103.112869869,3991038.6192556424,3832256.7503512977,3638448.2893917398,3503517.8472198336,3326088.3730605203,3227422.926014367,3023830.3921322934,2830885.701467642,2695789.610657361,2572594.7835012507,2393271.0394785004,2211325.967830913,2093764.4042010694,2012425.6354190917,1873195.6365220272,1801774.992367811,1685001.1504643336,1598600.6264168613,1500892.3994994897,1346018.65065614,1171992.9343678069,1021961.0364087166,906795.8098486646,762416.5728807726,618094.191100199,495460.4602123201,398245.8419854025,293435.39482554764,223070.9729359731,176823.01860074123,143477.02354809805,106379.62298167139,83071.6164953598,75929.18787448571,77076.4117638294,64769.10825123564,39315.91147609784,29241.645198187023,15778.182361595635,4979.519854147137,1099.8879777003347,148.93364263924522,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 16)",2905013.0892413063,4067059.360819751,3986892.6929970398,3863310.2493824447,3815948.475996359,3659913.222982508,3468806.590443616,3334546.363594503,3152943.5464712256,3056500.373921809,2855574.8539150776,2664923.614311848,2531880.2489210884,2409037.411495168,2230645.0276643485,2051032.856685991,1934431.0381714967,1854408.900559745,1717982.7550742528,1648595.6528017207,1535363.9642862007,1452484.3030063093,1359476.0947978972,1215839.038319629,1044486.2488775518,897919.4609558344,785158.0478173784,644982.7617962416,508824.092304423,397632.4761182243,312147.81547482964,218839.42141489676,156670.40849210965,116940.82173530599,89866.7718452191,61535.32869120708,44489.892752709755,38838.359417794934,38608.88008733939,28644.04176667872,14229.959859120412,6909.03744598794,1840.4546456152718,226.54820359310173,19.525327217433006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 20)",2905013.0892413063,3899899.432138833,3820247.663202184,3697652.750324074,3650114.1795964977,3494791.9372932976,3303683.337168634,3169440.9687781874,2990162.4715591054,2894140.865748043,2694419.802681464,2504992.13372937,2372991.144256696,2251133.686539101,2072217.1732551008,1892935.5348476474,1780802.9963973681,1703811.0060782798,1573377.1262686155,1507745.8022975617,1399960.6415223344,1320211.5784198493,1230891.1263389862,1089325.9400473838,920784.2426300372,777534.8621747018,667109.5231534366,534413.2439474997,411157.6730717326,313716.4841187841,235139.40473204022,153084.89300577226,100813.76584996581,68831.03222023502,49996.46116203444,30503.818529075867,19446.543712662897,15745.969673007174,15055.25722327013,9534.56362719496,2440.1165254424764,718.8714166055794,63.451695925658576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(27, 0)",2905013.0892413063,4380066.774440309,4299655.1214975165,4175546.767890405,4129177.4720605547,3972704.741304437,3779220.0995672285,3644406.964539678,3460026.567856756,3362337.574560164,3157893.7706145756,2964032.8723659543,2827576.9925402626,2700990.7924619177,2517810.0175889432,2331584.386483225,2211212.2031683004,2128177.9050946264,1986808.2232731692,1914142.0657633082,1797267.5453377098,1709500.5379994407,1609861.70892782,1457253.1365922254,1276121.944807298,1119142.847243061,997924.6271709271,846346.7400835988,705956.0151220137,582802.4608237625,478859.01127624547,362154.62419019715,279860.6413747372,224434.9074437255,184862.37300493947,140222.19783952984,111745.0088438938,102540.0288463425,104395.94177699073,87940.7057624303,57948.40591905008,48601.25988082336,26416.4983585594,13851.614124704409,5350.090642879982,1747.4255456583767,0.0,0.0,0.0,0.0,0.0,0.0
"(27, 4)",2905013.0892413063,4207654.903292492,4127243.250349699,4003134.8967425874,3956566.885473696,3800292.8701566188,3606808.228419411,3471995.093391861,3282936.337916527,3184102.2005765736,2980459.4023673027,2787249.3959191497,2651889.4547417117,2526626.295640374,2345399.55602125,2161508.766191658,2042889.7773326244,1960926.190173036,1822735.73402892,1751720.0389816638,1636691.0875349822,1551150.1466957189,1455758.3819108263,1306243.9942219437,1125965.346482015,972724.1340471568,855449.277294923,718843.0620122267,584515.1348373028,467620.799062356,371179.1576982283,263842.33032376925,191195.49548979153,145139.76515376536,112549.88776515084,78291.25554078168,57966.06606955653,51852.855795208714,52192.48047799545,40884.158365758136,21032.749815527695,14657.189300224516,6341.537967095968,1584.8506744520332,287.0717579145818,22.914727397523528,0.0,0.0,0.0,0.0,0.0,0.0
