State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"(9, 16)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-50498.0009625,-50361.28673394208,-49271.0008245,-49118.59043000003,-49118.59043000003,-49118.590430000026,-42771.37273499999,-42279.415132500006,-42133.11598753426,-42112.26935236645,-40785.98490478633,-40467.83431554493,-40467.83431554493,-40467.83431554493,-40435.86944606482,-40435.86944606482,-40435.86944606482,-36716.11419233338,-36607.433362500036,-36607.433362500036,-36607.433362500036,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.617085000034,-34285.90794416669,-32361.02418242802,-32361.02418242802,-32361.02418242802,-32361.02418242802,-31761.833184394407,0.0,0.0,0.0,0.0,0.0
"(9, 20)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51261.88394506303,-50755.50204189176,-50755.50204189178,-50373.094781279644,-50159.5970434245,-49271.0008245,-49118.59043000003,-49118.59043000003,-49118.590430000026,-42771.37273499999,-42133.11598753426,-42133.11598753426,-41781.16031133183,-41040.23978914497,-41040.23978914497,-40476.33316686468,-40435.86944606482,-40433.77644622955,-40433.77644622955,-40433.77644622955,-36716.11419233338,-36607.433362500036,-36607.433362500036,-36607.433362500036,-34475.61708500003,-34475.617085000034,-31761.8331843944,-31761.8331843944,-31761.8331843944,-31761.8331843944,-31761.8331843944,-31761.8331843944,-31761.833184394407,-31761.833184394407,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 0)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-50498.0009625,-50498.0009625,-50498.0009625,-50498.0009625,-50498.0009625,-42771.37273499999,-42771.37273499999,-42279.415132500006,-42279.415132500006,-42279.415132500006,-42279.415132500006,-41203.21768441667,-40533.44795499999,-40533.222876358326,-40525.73097299998,-40518.97861374999,-40461.10124874999,-38401.63167749998,-38401.63167749998,-36552.59391608067,-34489.91922497337,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,0.0,0.0,0.0,0.0
"(18, 4)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-50498.0009625,-50498.0009625,-50483.081463966664,-50274.20848449999,-48457.50230533334,-42771.37273499999,-42771.37273499999,-42279.415132500006,-42279.415132500006,-42261.40884116667,-40533.44795499999,-40533.44795499999,-40533.44795499999,-40525.73097299996,-38445.68278308332,-38401.63167749998,-38401.63167749998,-38401.63167749998,-36485.03547330887,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-961.72888175,0.0,0.0,0.0,0.0
"(18, 8)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-50498.0009625,-50456.890884501125,-48840.044292422914,-48441.28828169791,-44724.55382173505,-42771.37273499999,-42771.37273499999,-42279.415132500006,-42279.415132500006,-40533.44795499999,-40533.44795499999,-40533.44795499999,-40530.72557523886,-38437.97651911386,-38401.63167749998,-38401.63167749998,-38401.63167749998,-37954.42589652204,-34474.56185916508,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-5559.345986891666,0.0,0.0,0.0,0.0,0.0
"(18, 12)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-50498.0009625,-49115.69656175003,-49115.69656175003,-48783.86633575001,-44930.84153133333,-42771.37273499999,-42771.37273499999,-42279.415132500006,-42279.415132500006,-40533.44795499999,-40533.44795499999,-40467.83431554493,-40467.83431554493,-38401.63167749998,-38401.63167749998,-38319.63874374997,-36607.433362500036,-36607.433362500036,-34474.56185916508,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34465.97085750003,-34038.904213381415,-33479.50333215703,-33898.41684188556,-34073.498014616685,-31761.8331843944,-31761.833184394396,-21915.801587848568,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 16)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999994,-49308.5526124759,-49115.69656175003,-49115.69656175003,-49115.69656175003,-48783.86633575001,-44930.84153133333,-42771.37273499999,-42771.37273499999,-42279.415132500006,-40467.83431554493,-40467.83431554493,-40467.83431554493,-40467.83431554493,-40467.83431554493,-38391.342368166646,-36607.433362500036,-36607.433362500036,-36607.433362500036,-36607.433362500036,-34474.56185916508,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-32684.225360136297,-31748.95809064493,-31375.580371910182,-31034.16465391667,-29630.638552666675,-26721.32209559495,-26721.32209559495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(18, 20)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-50267.84197435,-49115.69656175003,-49115.69656175003,-49115.69656175003,-49115.69656175003,-49115.69656175003,-49115.69656175003,-49115.69656175003,-48783.86633575001,-44930.84153133333,-42771.37273499999,-42771.37273499999,-42133.11598753426,-40467.83431554493,-40467.83431554493,-40436.07773547943,-40435.86944606482,-40435.86944606482,-36784.92394850002,-36607.433362500036,-36607.433362500036,-36607.433362500036,-36607.433362500036,-34474.56185916508,-34475.61708500003,-34475.61708500003,-32125.70674907867,-31761.833184394407,-31735.165589054865,-31296.557761694832,-27246.14217356467,-26736.02818305529,-26721.32209559495,-24568.29836066667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(27, 0)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-50498.0009625,-50400.69104990077,-48377.37430889998,-48377.37430889999,-42771.37273499999,-42771.37273499999,-42771.37273499999,-42279.415132500006,-42279.415132500006,-40533.44795499999,-40533.44795499999,-40533.44795499999,-40525.73097299995,-38401.63167749998,-38401.63167749998,-38401.63167749998,-38401.63167749998,-36485.03547330887,-34474.56185916508,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,0.0,0.0,0.0,0.0,0.0,0.0
"(27, 4)",-48342.56703112501,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-51279.34538999998,-50400.69104990077,-48377.37430889998,-48377.37430889998,-44054.655576112884,-42771.37273499999,-42771.37273499999,-42771.37273499999,-42279.415132500006,-42274.270477833335,-40533.44795499999,-40533.44795499999,-40525.73097299995,-38718.51560989027,-38401.63167749998,-38401.63167749998,-38401.63167749998,-37722.02562665195,-34474.56185916508,-34474.56185916508,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34475.61708500003,-34409.84722905879,-32793.19439542949,-32299.428161000014,-32299.428161000014,-32299.428161000014,-32299.42816100001,-32299.428161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
