Date_time;Water_value
05.06.2019 22:00;403
06.06.2019 22:00;403
07.06.2019 22:00;403
08.06.2019 22:00;403
09.06.2019 22:00;403
10.06.2019 22:00;369
11.06.2019 22:00;369
12.06.2019 22:00;369
13.06.2019 22:00;369
14.06.2019 22:00;369
15.06.2019 22:00;369
16.06.2019 22:00;369
17.06.2019 22:00;369
18.06.2019 22:00;376
19.06.2019 22:00;376
20.06.2019 22:00;376
21.06.2019 22:00;376
22.06.2019 22:00;376
23.06.2019 22:00;376
24.06.2019 22:00;376
25.06.2019 22:00;376
26.06.2019 22:00;395
27.06.2019 22:00;395
28.06.2019 22:00;395
29.06.2019 22:00;395
30.06.2019 22:00;395
01.07.2019 22:00;395
02.07.2019 22:00;395
03.07.2019 22:00;395
04.07.2019 22:00;395
05.07.2019 22:00;395
06.07.2019 22:00;395
07.07.2019 22:00;395
08.07.2019 22:00;395
09.07.2019 22:00;395
10.07.2019 22:00;395
11.07.2019 22:00;395
12.07.2019 22:00;395
13.07.2019 22:00;395
14.07.2019 22:00;446
15.07.2019 22:00;446
16.07.2019 22:00;445
17.07.2019 22:00;445
18.07.2019 22:00;445
19.07.2019 22:00;445
20.07.2019 22:00;445
21.07.2019 22:00;445
22.07.2019 22:00;445
23.07.2019 22:00;445
24.07.2019 22:00;445
25.07.2019 22:00;445
26.07.2019 22:00;445
27.07.2019 22:00;445
28.07.2019 22:00;445
29.07.2019 22:00;476
30.07.2019 22:00;476
31.07.2019 22:00;476
01.08.2019 22:00;476
02.08.2019 22:00;476
03.08.2019 22:00;476
04.08.2019 22:00;484
05.08.2019 22:00;484
06.08.2019 22:00;470
07.08.2019 22:00;470
08.08.2019 22:00;470
09.08.2019 22:00;470
10.08.2019 22:00;470
11.08.2019 22:00;470
12.08.2019 22:00;442
13.08.2019 22:00;442
14.08.2019 22:00;442
15.08.2019 22:00;442
16.08.2019 22:00;442
17.08.2019 22:00;442
18.08.2019 22:00;442
19.08.2019 22:00;429
20.08.2019 22:00;429
21.08.2019 22:00;429
22.08.2019 22:00;429
23.08.2019 22:00;429
24.08.2019 22:00;429
25.08.2019 22:00;429
26.08.2019 22:00;418
27.08.2019 22:00;418
28.08.2019 22:00;418
29.08.2019 22:00;418
30.08.2019 22:00;418
31.08.2019 22:00;443
01.09.2019 22:00;421
02.09.2019 22:00;421
03.09.2019 22:00;421
04.09.2019 22:00;421
05.09.2019 22:00;421
06.09.2019 22:00;421
07.09.2019 22:00;421
08.09.2019 22:00;421
09.09.2019 22:00;421
10.09.2019 22:00;407
11.09.2019 22:00;407
12.09.2019 22:00;407
13.09.2019 22:00;407
14.09.2019 22:00;407
15.09.2019 22:00;407
16.09.2019 22:00;407
17.09.2019 22:00;407
18.09.2019 22:00;347
19.09.2019 22:00;347
20.09.2019 22:00;320
21.09.2019 22:00;320
22.09.2019 22:00;355
23.09.2019 22:00;350
24.09.2019 22:00;350
25.09.2019 22:00;350
26.09.2019 22:00;342
27.09.2019 22:00;342
28.09.2019 22:00;342
29.09.2019 22:00;364
30.09.2019 22:00;364
01.10.2019 22:00;364
02.10.2019 22:00;364
03.10.2019 22:00;369
04.10.2019 22:00;369
05.10.2019 22:00;369
06.10.2019 22:00;389
07.10.2019 22:00;389
08.10.2019 22:00;389
09.10.2019 22:00;389
10.10.2019 22:00;389
11.10.2019 22:00;389
12.10.2019 22:00;389
13.10.2019 22:00;389
14.10.2019 22:00;389
15.10.2019 22:00;389
16.10.2019 22:00;425
17.10.2019 22:00;425
18.10.2019 22:00;425
19.10.2019 22:00;425
20.10.2019 22:00;425
21.10.2019 22:00;425
22.10.2019 22:00;425
23.10.2019 22:00;425
24.10.2019 22:00;445
25.10.2019 22:00;445
26.10.2019 22:00;445
27.10.2019 23:00;440
28.10.2019 23:00;440
29.10.2019 23:00;440
30.10.2019 23:00;440
31.10.2019 23:00;440
01.11.2019 23:00;440
02.11.2019 23:00;440
03.11.2019 23:00;444
04.11.2019 23:00;444
05.11.2019 23:00;457
06.11.2019 23:00;457
07.11.2019 23:00;457
08.11.2019 23:00;457
09.11.2019 23:00;457
10.11.2019 23:00;470
11.11.2019 23:00;487
12.11.2019 23:00;487
13.11.2019 23:00;487
14.11.2019 23:00;487
15.11.2019 23:00;487
16.11.2019 23:00;487
17.11.2019 23:00;525
18.11.2019 23:00;525
19.11.2019 23:00;525
20.11.2019 23:00;525
21.11.2019 23:00;525
22.11.2019 23:00;525
23.11.2019 23:00;525
24.11.2019 23:00;465
25.11.2019 23:00;456
26.11.2019 23:00;456
27.11.2019 23:00;456
28.11.2019 23:00;456
29.11.2019 23:00;456
30.11.2019 23:00;456
01.12.2019 23:00;465
02.12.2019 23:00;465
03.12.2019 23:00;465
04.12.2019 23:00;465
05.12.2019 23:00;465
06.12.2019 23:00;465
07.12.2019 23:00;465
08.12.2019 23:00;418
09.12.2019 23:00;418
10.12.2019 23:00;418
11.12.2019 23:00;418
12.12.2019 23:00;418
13.12.2019 23:00;418
14.12.2019 23:00;418
15.12.2019 23:00;418
16.12.2019 23:00;428
17.12.2019 23:00;428
18.12.2019 23:00;428
19.12.2019 23:00;428
20.12.2019 23:00;428
21.12.2019 23:00;428
22.12.2019 23:00;428
23.12.2019 23:00;428
24.12.2019 23:00;428
25.12.2019 23:00;428
26.12.2019 23:00;428
27.12.2019 23:00;428
28.12.2019 23:00;428
29.12.2019 23:00;428
30.12.2019 23:00;300
31.12.2019 23:00;300
01.01.2020 23:00;300
02.01.2020 23:00;0
03.01.2020 23:00;0
04.01.2020 23:00;0
05.01.2020 23:00;0
06.01.2020 23:00;264
07.01.2020 23:00;235
08.01.2020 23:00;235
09.01.2020 23:00;235
10.01.2020 23:00;265
11.01.2020 23:00;265
12.01.2020 23:00;265
13.01.2020 23:00;271
14.01.2020 23:00;271
15.01.2020 23:00;271
16.01.2020 23:00;271
17.01.2020 23:00;100
18.01.2020 23:00;100
19.01.2020 23:00;100
20.01.2020 23:00;100
21.01.2020 23:00;100
22.01.2020 23:00;100
23.01.2020 23:00;100
24.01.2020 23:00;100
25.01.2020 23:00;100
26.01.2020 23:00;200
27.01.2020 23:00;200
28.01.2020 23:00;200
29.01.2020 23:00;200
30.01.2020 23:00;200
31.01.2020 23:00;200
01.02.2020 23:00;200
02.02.2020 23:00;200
03.02.2020 23:00;200
04.02.2020 23:00;200
05.02.2020 23:00;167
06.02.2020 23:00;167
07.02.2020 23:00;167
08.02.2020 23:00;167
09.02.2020 23:00;167
10.02.2020 23:00;130
11.02.2020 23:00;130
12.02.2020 23:00;130
13.02.2020 23:00;130
14.02.2020 23:00;130
15.02.2020 23:00;130
16.02.2020 23:00;137
17.02.2020 23:00;137
18.02.2020 23:00;137
19.02.2020 23:00;137
20.02.2020 23:00;111
21.02.2020 23:00;111
22.02.2020 23:00;111
23.02.2020 23:00;111
24.02.2020 23:00;111
25.02.2020 23:00;140
26.02.2020 23:00;140
27.02.2020 23:00;140
28.02.2020 23:00;140
29.02.2020 23:00;140
01.03.2020 23:00;134
02.03.2020 23:00;134
03.03.2020 23:00;134
04.03.2020 23:00;124
05.03.2020 23:00;124
06.03.2020 23:00;124
07.03.2020 23:00;124
08.03.2020 23:00;114
09.03.2020 23:00;114
10.03.2020 23:00;100
11.03.2020 23:00;80
12.03.2020 23:00;80
13.03.2020 23:00;80
14.03.2020 23:00;80
15.03.2020 23:00;105
16.03.2020 23:00;105
17.03.2020 23:00;85
18.03.2020 23:00;85
19.03.2020 23:00;85
20.03.2020 23:00;85
21.03.2020 23:00;85
22.03.2020 23:00;85
23.03.2020 23:00;85
24.03.2020 23:00;85
25.03.2020 23:00;80
