Generert fra Tidsserie;;
;;
;;
;;
;;
;;
;;
;"/ORMSETFOSS/Va
nnstand/MOH/TS
LU/OBS/OPER/T/BUAVATNET_TY1000_BE0102_A
[Meter]";"/ORMSETFOSS/Va
nnstand/MOH/TS
LU/OBS/OPER/T/ORMSETVATN_TY1000_BE0102_A
[Meter]"
20/01/2010 04;329.08;381.77
20/01/2010 05;329.08;381.77
20/01/2010 06;329.08;381.77
20/01/2010 07;329.08;381.77
20/01/2010 08;329.08;381.77
20/01/2010 09;329.08;381.77
20/01/2010 10;329.08;381.77
20/01/2010 11;329.08;381.77
20/01/2010 12;329.08;381.77
20/01/2010 13;329.08;381.77
20/01/2010 14;329.09;381.77
20/01/2010 15;329.09;381.77
20/01/2010 16;329.09;381.77
20/01/2010 17;329.09;381.77
20/01/2010 18;329.10;381.77
20/01/2010 19;329.09;381.77
20/01/2010 20;329.10;381.77
20/01/2010 21;329.10;381.77
20/01/2010 22;329.10;381.77
20/01/2010 23;329.10;381.77
20/01/2010 24;329.10;381.77
21/01/2010 01;329.10;381.77
21/01/2010 02;329.10;381.77
21/01/2010 03;329.10;381.77
21/01/2010 04;329.10;381.77
21/01/2010 05;329.10;381.77
21/01/2010 06;329.10;381.77
21/01/2010 07;329.10;381.77
21/01/2010 08;329.10;381.77
21/01/2010 09;329.10;381.77
21/01/2010 10;329.10;381.77
21/01/2010 11;329.10;381.77
21/01/2010 12;329.10;381.77
21/01/2010 13;329.10;381.77
21/01/2010 14;329.11;381.77
21/01/2010 15;329.11;381.77
21/01/2010 16;329.12;381.77
21/01/2010 17;329.12;381.77
21/01/2010 18;329.12;381.77
21/01/2010 19;329.12;381.77
21/01/2010 20;329.12;381.77
21/01/2010 21;329.12;381.77
21/01/2010 22;329.12;381.77
21/01/2010 23;329.12;381.77
21/01/2010 24;329.12;381.77
22/01/2010 01;329.12;381.77
22/01/2010 02;329.12;381.77
22/01/2010 03;329.12;381.77
22/01/2010 04;329.12;381.77
22/01/2010 05;329.12;381.77
22/01/2010 06;329.12;381.77
22/01/2010 07;329.12;381.77
22/01/2010 08;329.12;381.77
22/01/2010 09;329.12;381.77
22/01/2010 10;329.12;381.77
22/01/2010 11;329.12;381.77
22/01/2010 12;329.12;381.77
22/01/2010 13;329.14;381.77
22/01/2010 14;329.14;381.77
22/01/2010 15;329.14;381.77
22/01/2010 16;329.13;381.77
22/01/2010 17;329.14;381.77
22/01/2010 18;329.14;381.77
22/01/2010 19;329.14;381.77
22/01/2010 20;329.14;381.77
22/01/2010 21;329.14;381.77
22/01/2010 22;329.14;381.77
22/01/2010 23;329.14;381.77
22/01/2010 24;329.14;381.77
23/01/2010 01;329.14;381.77
23/01/2010 02;329.14;381.77
23/01/2010 03;329.14;381.77
23/01/2010 04;329.14;381.77
23/01/2010 05;329.14;381.77
23/01/2010 06;329.14;381.77
23/01/2010 07;329.14;381.77
23/01/2010 08;329.14;381.77
23/01/2010 09;329.14;381.77
23/01/2010 10;329.14;381.77
23/01/2010 11;329.14;381.77
23/01/2010 12;329.14;381.77
23/01/2010 13;329.14;381.77
23/01/2010 14;329.14;381.77
23/01/2010 15;329.14;381.77
23/01/2010 16;329.14;381.77
23/01/2010 17;329.16;381.77
23/01/2010 18;329.16;381.77
23/01/2010 19;329.15;381.75
23/01/2010 20;329.16;381.75
23/01/2010 21;329.16;381.73
23/01/2010 22;329.16;381.73
23/01/2010 23;329.16;381.71
23/01/2010 24;329.16;381.71
24/01/2010 01;329.16;381.71
24/01/2010 02;329.16;381.71
24/01/2010 03;329.16;381.71
24/01/2010 04;329.16;381.71
24/01/2010 05;329.16;381.71
24/01/2010 06;329.16;381.71
24/01/2010 07;329.16;381.71
24/01/2010 08;329.16;381.71
24/01/2010 09;329.16;381.71
24/01/2010 10;329.16;381.71
24/01/2010 11;329.16;381.71
24/01/2010 12;329.16;381.71
24/01/2010 13;329.16;381.71
24/01/2010 14;329.16;381.71
24/01/2010 15;329.16;381.71
24/01/2010 16;329.16;381.71
24/01/2010 17;329.16;381.71
24/01/2010 18;329.18;381.69
24/01/2010 19;329.18;381.69
24/01/2010 20;329.18;381.67
24/01/2010 21;329.18;381.67
24/01/2010 22;329.18;381.67
24/01/2010 23;329.18;381.64
24/01/2010 24;329.19;381.64
25/01/2010 01;329.19;381.64
25/01/2010 02;329.09;381.64
25/01/2010 03;329.00;381.64
25/01/2010 04;328.90;381.64
25/01/2010 05;328.81;381.64
25/01/2010 06;328.75;381.67
25/01/2010 07;328.75;381.67
25/01/2010 08;328.75;381.67
25/01/2010 09;328.75;381.64
25/01/2010 10;328.75;381.64
25/01/2010 11;328.76;381.64
25/01/2010 12;328.76;381.64
25/01/2010 13;328.76;381.64
25/01/2010 14;328.76;381.64
25/01/2010 15;328.76;381.64
25/01/2010 16;328.76;381.64
25/01/2010 17;328.77;381.64
25/01/2010 18;328.77;381.64
25/01/2010 19;328.77;381.64
25/01/2010 20;328.77;381.62
25/01/2010 21;328.77;381.62
25/01/2010 22;328.77;381.60
25/01/2010 23;328.77;381.60
25/01/2010 24;328.77;381.60
26/01/2010 01;328.77;381.58
26/01/2010 02;328.77;381.58
26/01/2010 03;328.77;381.56
26/01/2010 04;328.77;381.56
26/01/2010 05;328.77;381.56
26/01/2010 06;328.77;381.56
26/01/2010 07;328.77;381.52
26/01/2010 08;328.77;381.52
26/01/2010 09;328.77;381.50
26/01/2010 10;328.77;381.50
26/01/2010 11;328.77;381.47
26/01/2010 12;328.79;381.47
26/01/2010 13;328.79;381.45
26/01/2010 14;328.79;381.45
26/01/2010 15;328.79;381.44
26/01/2010 16;328.79;381.44
26/01/2010 17;328.79;381.41
26/01/2010 18;328.79;381.41
26/01/2010 19;328.79;381.41
26/01/2010 20;328.79;381.41
26/01/2010 21;328.79;381.39
26/01/2010 22;328.81;381.39
26/01/2010 23;328.81;381.39
26/01/2010 24;328.81;381.39
27/01/2010 01;328.81;381.39
27/01/2010 02;328.78;381.41
27/01/2010 03;328.68;381.41
27/01/2010 04;328.59;381.41
27/01/2010 05;328.50;381.41
27/01/2010 06;328.40;381.41
27/01/2010 07;328.38;381.43
27/01/2010 08;328.38;381.43
27/01/2010 09;328.38;381.41
27/01/2010 10;328.39;381.41
27/01/2010 11;328.39;381.41
27/01/2010 12;328.39;381.41
27/01/2010 13;328.39;381.41
27/01/2010 14;328.41;381.39
27/01/2010 15;328.41;381.39
27/01/2010 16;328.41;381.36
27/01/2010 17;328.44;381.36
27/01/2010 18;328.44;381.34
27/01/2010 19;328.44;381.34
27/01/2010 20;328.45;381.33
27/01/2010 21;328.46;381.33
27/01/2010 22;328.46;381.33
27/01/2010 23;328.46;381.33
27/01/2010 24;328.48;381.33
28/01/2010 01;328.48;381.33
28/01/2010 02;328.48;381.33
28/01/2010 03;328.50;381.33
28/01/2010 04;328.50;381.33
28/01/2010 05;328.52;381.33
28/01/2010 06;328.52;381.33
28/01/2010 07;328.52;381.33
28/01/2010 08;328.54;381.33
28/01/2010 09;328.54;381.33
28/01/2010 10;328.54;381.33
28/01/2010 11;328.56;381.33
28/01/2010 12;328.56;381.30
28/01/2010 13;328.57;381.30
28/01/2010 14;328.57;381.30
28/01/2010 15;328.57;381.30
28/01/2010 16;328.59;381.30
28/01/2010 17;328.59;381.28
28/01/2010 18;328.59;381.28
28/01/2010 19;328.61;381.25
28/01/2010 20;328.61;381.25
28/01/2010 21;328.61;381.25
28/01/2010 22;328.63;381.23
28/01/2010 23;328.63;381.23
28/01/2010 24;328.63;381.23
29/01/2010 01;328.65;381.21
29/01/2010 02;328.66;381.21
29/01/2010 03;328.66;381.21
29/01/2010 04;328.66;381.19
29/01/2010 05;328.68;381.19
29/01/2010 06;328.68;381.19
29/01/2010 07;328.70;381.17
29/01/2010 08;328.70;381.17
29/01/2010 09;328.71;381.14
29/01/2010 10;328.72;381.14
29/01/2010 11;328.74;381.14
29/01/2010 12;328.74;381.12
29/01/2010 13;328.74;381.12
29/01/2010 14;328.76;381.10
29/01/2010 15;328.76;381.08
29/01/2010 16;328.77;381.08
29/01/2010 17;328.77;381.08
29/01/2010 18;328.77;381.08
29/01/2010 19;328.77;381.05
29/01/2010 20;328.79;381.05
29/01/2010 21;328.79;381.05
29/01/2010 22;328.79;381.05
29/01/2010 23;328.79;381.05
