Generert fra Tidsserie;;
;;
;;
;;
;;
;;
;;
;"/ORMSETFOSS/Va
nnstand/MOH/TS
LU/OBS/OPER/T/BUAVATNET_TY1000_BE0102_A
[Meter]";"/ORMSETFOSS/Va
nnstand/MOH/TS
LU/OBS/OPER/T/ORMSETVATN_TY1000_BE0102_A
[Meter]"
28/12/2017 24;328.76;387.02
29/12/2017 01;328.66;387.02
29/12/2017 02;328.58;387.02
29/12/2017 03;328.51;387.02
29/12/2017 04;328.43;387.02
29/12/2017 05;328.35;387.02
29/12/2017 06;328.27;387.02
29/12/2017 07;328.28;387.02
29/12/2017 08;328.28;387.02
29/12/2017 09;328.28;386.96
29/12/2017 10;328.30;386.96
29/12/2017 11;328.30;386.96
29/12/2017 12;328.32;386.96
29/12/2017 13;328.32;386.96
29/12/2017 14;328.32;386.96
29/12/2017 15;328.34;386.96
29/12/2017 16;328.34;386.96
29/12/2017 17;328.36;386.96
29/12/2017 18;328.36;386.96
29/12/2017 19;328.37;386.96
29/12/2017 20;328.37;386.96
29/12/2017 21;328.37;386.96
29/12/2017 22;328.39;386.96
29/12/2017 23;328.39;386.96
29/12/2017 24;328.39;386.96
30/12/2017 01;328.29;386.96
30/12/2017 02;328.21;386.96
30/12/2017 03;328.13;386.96
30/12/2017 04;328.04;386.96
30/12/2017 05;327.96;386.96
30/12/2017 06;327.94;386.96
30/12/2017 07;327.94;386.96
30/12/2017 08;327.95;386.96
30/12/2017 09;327.95;386.96
30/12/2017 10;327.97;386.96
30/12/2017 11;327.97;386.96
30/12/2017 12;327.97;386.99
30/12/2017 13;327.99;386.99
30/12/2017 14;327.99;386.99
30/12/2017 15;327.99;386.99
30/12/2017 16;328.01;386.99
30/12/2017 17;328.01;386.99
30/12/2017 18;328.01;386.99
30/12/2017 19;328.03;386.99
30/12/2017 20;328.03;386.99
30/12/2017 21;328.03;386.99
30/12/2017 22;328.05;386.99
30/12/2017 23;328.06;386.99
30/12/2017 24;328.06;386.99
31/12/2017 01;328.00;386.99
31/12/2017 02;327.91;386.99
31/12/2017 03;327.82;386.99
31/12/2017 04;327.73;386.99
31/12/2017 05;327.65;386.99
31/12/2017 06;327.55;386.99
31/12/2017 07;327.51;386.99
31/12/2017 08;327.49;386.99
31/12/2017 09;327.50;386.99
31/12/2017 10;327.50;386.99
31/12/2017 11;327.50;386.99
31/12/2017 12;327.52;386.99
31/12/2017 13;327.52;386.99
31/12/2017 14;327.52;386.99
31/12/2017 15;327.54;386.99
31/12/2017 16;327.55;387.03
31/12/2017 17;327.55;387.03
31/12/2017 18;327.55;387.03
31/12/2017 19;327.55;387.03
31/12/2017 20;327.57;387.03
31/12/2017 21;327.57;387.03
31/12/2017 22;327.57;387.03
31/12/2017 23;327.59;387.03
31/12/2017 24;327.59;387.03
01/01/2018 01;327.59;387.03
01/01/2018 02;327.61;387.03
01/01/2018 03;327.61;387.03
01/01/2018 04;327.61;387.03
01/01/2018 05;327.63;387.03
01/01/2018 06;327.63;387.03
01/01/2018 07;327.64;387.03
01/01/2018 08;327.64;387.03
01/01/2018 09;327.64;387.03
01/01/2018 10;327.66;387.03
01/01/2018 11;327.66;387.03
01/01/2018 12;327.66;387.03
01/01/2018 13;327.66;387.03
01/01/2018 14;327.68;387.03
01/01/2018 15;327.68;387.03
01/01/2018 16;327.68;387.03
01/01/2018 17;327.70;387.03
01/01/2018 18;327.70;387.03
01/01/2018 19;327.70;387.03
01/01/2018 20;327.70;387.03
01/01/2018 21;327.72;387.03
01/01/2018 22;327.72;387.03
01/01/2018 23;327.72;387.03
01/01/2018 24;327.74;387.03
02/01/2018 01;327.71;387.03
02/01/2018 02;327.66;387.03
02/01/2018 03;327.64;387.03
02/01/2018 04;327.63;387.03
02/01/2018 05;327.64;387.03
02/01/2018 06;327.64;387.03
02/01/2018 07;327.64;387.03
02/01/2018 08;327.66;387.03
02/01/2018 09;327.66;387.02
02/01/2018 10;327.66;387.02
02/01/2018 11;327.68;387.02
02/01/2018 12;327.68;387.02
02/01/2018 13;327.68;387.02
02/01/2018 14;327.68;387.02
02/01/2018 15;327.70;387.02
02/01/2018 16;327.70;387.02
02/01/2018 17;327.70;387.02
02/01/2018 18;327.70;387.02
02/01/2018 19;327.72;387.02
02/01/2018 20;327.72;387.02
02/01/2018 21;327.72;387.02
02/01/2018 22;327.72;387.02
02/01/2018 23;327.74;387.02
02/01/2018 24;327.75;387.02
03/01/2018 01;327.75;387.02
03/01/2018 02;327.75;387.02
03/01/2018 03;327.75;387.02
03/01/2018 04;327.77;387.02
03/01/2018 05;327.77;387.02
03/01/2018 06;327.77;387.02
03/01/2018 07;327.77;387.02
03/01/2018 08;327.79;387.02
03/01/2018 09;327.79;386.95
03/01/2018 10;327.79;386.95
03/01/2018 11;327.79;386.95
03/01/2018 12;327.81;386.95
03/01/2018 13;327.81;386.95
03/01/2018 14;327.81;386.95
03/01/2018 15;327.81;386.95
03/01/2018 16;327.83;386.95
03/01/2018 17;327.83;386.95
03/01/2018 18;327.83;386.95
03/01/2018 19;327.83;386.95
03/01/2018 20;327.85;386.95
03/01/2018 21;327.85;386.95
03/01/2018 22;327.86;386.95
03/01/2018 23;327.86;386.95
03/01/2018 24;327.86;386.95
04/01/2018 01;327.86;386.95
04/01/2018 02;327.86;386.95
04/01/2018 03;327.88;386.95
04/01/2018 04;327.88;386.95
04/01/2018 05;327.88;386.95
04/01/2018 06;327.88;386.95
04/01/2018 07;327.90;386.95
04/01/2018 08;327.90;386.95
04/01/2018 09;327.91;386.94
04/01/2018 10;327.91;386.94
04/01/2018 11;327.92;386.94
04/01/2018 12;327.92;386.94
04/01/2018 13;327.92;386.94
04/01/2018 14;327.92;386.94
04/01/2018 15;327.94;386.94
04/01/2018 16;327.94;386.94
04/01/2018 17;327.95;386.94
04/01/2018 18;327.95;386.94
04/01/2018 19;327.95;386.94
04/01/2018 20;327.95;386.94
04/01/2018 21;327.97;386.94
04/01/2018 22;327.97;386.94
04/01/2018 23;327.97;386.94
04/01/2018 24;327.97;386.94
05/01/2018 01;327.97;386.94
05/01/2018 02;327.99;386.94
05/01/2018 03;327.99;386.94
05/01/2018 04;327.99;386.94
05/01/2018 05;327.99;386.94
05/01/2018 06;328.01;386.94
05/01/2018 07;328.01;386.94
05/01/2018 08;328.01;386.85
05/01/2018 09;328.01;386.85
05/01/2018 10;328.01;386.85
05/01/2018 11;328.03;386.85
05/01/2018 12;328.03;386.85
05/01/2018 13;328.03;386.85
05/01/2018 14;328.03;386.85
05/01/2018 15;328.05;386.85
05/01/2018 16;328.05;386.85
05/01/2018 17;328.06;386.85
05/01/2018 18;328.06;386.85
05/01/2018 19;328.06;386.85
05/01/2018 20;328.06;386.85
05/01/2018 21;328.06;386.85
05/01/2018 22;328.08;386.85
05/01/2018 23;328.08;386.85
05/01/2018 24;328.08;386.85
06/01/2018 01;328.08;386.85
06/01/2018 02;328.10;386.85
06/01/2018 03;328.10;386.85
06/01/2018 04;328.10;386.85
06/01/2018 05;328.10;386.85
06/01/2018 06;328.10;386.85
06/01/2018 07;328.12;386.85
06/01/2018 08;328.12;386.85
06/01/2018 09;328.12;386.85
06/01/2018 10;328.12;386.85
06/01/2018 11;328.12;386.85
06/01/2018 12;328.14;386.85
06/01/2018 13;328.14;386.85
06/01/2018 14;328.15;386.85
06/01/2018 15;328.15;386.85
06/01/2018 16;328.15;386.85
06/01/2018 17;328.15;386.85
06/01/2018 18;328.17;386.85
06/01/2018 19;328.17;386.85
06/01/2018 20;328.17;386.85
06/01/2018 21;328.17;386.85
06/01/2018 22;328.17;386.85
06/01/2018 23;328.19;386.85
06/01/2018 24;328.19;386.85
07/01/2018 01;328.19;386.85
07/01/2018 02;328.19;386.85
07/01/2018 03;328.21;386.85
07/01/2018 04;328.21;386.85
07/01/2018 05;328.21;386.85
07/01/2018 06;328.21;386.85
07/01/2018 07;328.21;386.85
07/01/2018 08;328.23;386.85
07/01/2018 09;328.23;386.85
07/01/2018 10;328.23;386.85
07/01/2018 11;328.25;386.85
07/01/2018 12;328.25;386.85
07/01/2018 13;328.25;386.85
07/01/2018 14;328.26;386.85
07/01/2018 15;328.26;386.85
07/01/2018 16;328.26;386.85
07/01/2018 17;328.26;386.85
07/01/2018 18;328.28;386.85
07/01/2018 19;328.28;386.74
07/01/2018 20;328.28;386.74
07/01/2018 21;328.28;386.74
07/01/2018 22;328.30;386.74
07/01/2018 23;328.30;386.74
07/01/2018 24;328.30;386.74
08/01/2018 01;328.30;386.74
08/01/2018 02;328.32;386.74
08/01/2018 03;328.28;386.74
08/01/2018 04;328.20;386.74
08/01/2018 05;328.13;386.74
08/01/2018 06;328.13;386.74
08/01/2018 07;328.13;386.74
08/01/2018 08;328.13;386.74
08/01/2018 09;328.14;386.74
08/01/2018 10;328.15;386.74
08/01/2018 11;328.15;386.61
08/01/2018 12;328.17;386.61
08/01/2018 13;328.16;386.61
08/01/2018 14;328.17;386.61
08/01/2018 15;328.17;386.61
08/01/2018 16;328.19;386.61
08/01/2018 17;328.19;386.61
08/01/2018 18;328.19;386.61
08/01/2018 19;328.19;386.61
08/01/2018 20;328.21;386.61
08/01/2018 21;328.21;386.61
08/01/2018 22;328.21;386.61
08/01/2018 23;328.21;386.61
08/01/2018 24;328.23;386.61
09/01/2018 01;328.16;386.61
09/01/2018 02;328.07;386.61
09/01/2018 03;327.98;386.61
09/01/2018 04;328.00;386.61
09/01/2018 05;328.00;386.61
09/01/2018 06;328.01;386.61
09/01/2018 07;328.01;386.61
09/01/2018 08;328.01;386.61
09/01/2018 09;328.03;386.53
09/01/2018 10;328.03;386.53
09/01/2018 11;328.03;386.53
09/01/2018 12;328.04;386.53
09/01/2018 13;328.05;386.53
09/01/2018 14;328.05;386.53
09/01/2018 15;328.06;386.53
09/01/2018 16;328.06;386.53
09/01/2018 17;328.06;386.53
09/01/2018 18;328.06;386.53
09/01/2018 19;328.08;386.53
09/01/2018 20;328.08;386.53
09/01/2018 21;328.08;386.53
09/01/2018 22;328.08;386.53
09/01/2018 23;328.10;386.53
09/01/2018 24;328.10;386.53
10/01/2018 01;328.10;386.53
10/01/2018 02;328.10;386.53
10/01/2018 03;328.12;386.53
10/01/2018 04;328.12;386.53
10/01/2018 05;328.12;386.53
10/01/2018 06;328.12;386.53
10/01/2018 07;328.14;386.53
10/01/2018 08;328.15;386.53
10/01/2018 09;328.15;386.47
10/01/2018 10;328.15;386.47
10/01/2018 11;328.15;386.47
10/01/2018 12;328.15;386.47
10/01/2018 13;328.17;386.47
10/01/2018 14;328.17;386.47
10/01/2018 15;328.17;386.47
10/01/2018 16;328.17;386.47
10/01/2018 17;328.19;386.47
10/01/2018 18;328.19;386.47
10/01/2018 19;328.19;386.47
10/01/2018 20;328.19;386.47
10/01/2018 21;328.21;386.47
10/01/2018 22;328.21;386.47
10/01/2018 23;328.21;386.47
10/01/2018 24;328.21;386.47
11/01/2018 01;328.23;386.47
11/01/2018 02;328.23;386.47
11/01/2018 03;328.23;386.47
11/01/2018 04;328.23;386.47
11/01/2018 05;328.23;386.47
11/01/2018 06;328.25;386.47
11/01/2018 07;328.25;386.47
11/01/2018 08;328.26;386.47
11/01/2018 09;328.26;386.47
11/01/2018 10;328.26;386.47
11/01/2018 11;328.27;386.47
11/01/2018 12;328.27;386.36
11/01/2018 13;328.27;386.25
11/01/2018 14;328.28;386.25
11/01/2018 15;328.28;386.25
11/01/2018 16;328.28;386.25
11/01/2018 17;328.28;386.25
11/01/2018 18;328.28;386.25
11/01/2018 19;328.30;386.25
11/01/2018 20;328.30;386.25
11/01/2018 21;328.30;386.25
11/01/2018 22;328.30;386.25
11/01/2018 23;328.30;386.25
11/01/2018 24;328.32;386.25
12/01/2018 01;328.32;386.25
12/01/2018 02;328.32;386.25
12/01/2018 03;328.32;386.25
12/01/2018 04;328.32;386.25
12/01/2018 05;328.34;386.25
12/01/2018 06;328.34;386.25
12/01/2018 07;328.34;386.25
12/01/2018 08;328.34;386.25
12/01/2018 09;328.34;386.25
12/01/2018 10;328.36;386.25
12/01/2018 11;328.36;386.25
12/01/2018 12;328.36;386.14
12/01/2018 13;328.37;386.03
12/01/2018 14;328.37;386.03
12/01/2018 15;328.37;386.03
12/01/2018 16;328.37;386.03
12/01/2018 17;328.37;386.03
12/01/2018 18;328.37;386.03
12/01/2018 19;328.39;386.03
12/01/2018 20;328.39;386.03
12/01/2018 21;328.39;386.03
12/01/2018 22;328.39;386.03
12/01/2018 23;328.39;386.03
12/01/2018 24;328.39;386.03
13/01/2018 01;328.41;386.03
13/01/2018 02;328.41;386.03
13/01/2018 03;328.41;386.03
13/01/2018 04;328.41;386.03
13/01/2018 05;328.41;386.03
13/01/2018 06;328.43;386.03
13/01/2018 07;328.43;386.03
13/01/2018 08;328.43;386.03
13/01/2018 09;328.43;386.03
13/01/2018 10;328.43;386.03
13/01/2018 11;328.43;385.83
13/01/2018 12;328.45;385.83
13/01/2018 13;328.45;385.83
13/01/2018 14;328.45;385.83
13/01/2018 15;328.46;385.83
13/01/2018 16;328.46;385.83
13/01/2018 17;328.46;385.83
13/01/2018 18;328.46;385.83
13/01/2018 19;328.46;385.83
13/01/2018 20;328.48;385.83
13/01/2018 21;328.48;385.83
13/01/2018 22;328.48;385.83
13/01/2018 23;328.48;385.83
13/01/2018 24;328.48;385.83
14/01/2018 01;328.48;385.83
14/01/2018 02;328.50;385.83
14/01/2018 03;328.50;385.83
14/01/2018 04;328.50;385.83
14/01/2018 05;328.50;385.83
14/01/2018 06;328.50;385.83
14/01/2018 07;328.48;385.83
14/01/2018 08;328.44;385.83
14/01/2018 09;328.45;385.83
14/01/2018 10;328.46;385.83
14/01/2018 11;328.46;385.83
14/01/2018 12;328.46;385.83
14/01/2018 13;328.46;385.83
14/01/2018 14;328.46;385.83
14/01/2018 15;328.48;385.83
14/01/2018 16;328.48;385.83
14/01/2018 17;328.48;385.83
14/01/2018 18;328.48;385.83
14/01/2018 19;328.48;385.83
14/01/2018 20;328.48;385.83
14/01/2018 21;328.50;385.83
14/01/2018 22;328.50;385.83
14/01/2018 23;328.50;385.69
14/01/2018 24;328.42;385.69
15/01/2018 01;328.33;385.69
15/01/2018 02;328.24;385.69
15/01/2018 03;328.15;385.69
15/01/2018 04;328.10;385.69
15/01/2018 05;328.08;385.69
15/01/2018 06;328.08;385.69
15/01/2018 07;328.08;385.69
15/01/2018 08;328.08;385.69
15/01/2018 09;328.08;385.69
15/01/2018 10;328.08;385.69
15/01/2018 11;328.08;385.69
15/01/2018 12;328.10;385.56
15/01/2018 13;328.10;385.56
15/01/2018 14;328.10;385.56
15/01/2018 15;328.10;385.56
15/01/2018 16;328.10;385.56
15/01/2018 17;328.10;385.56
15/01/2018 18;328.12;385.56
15/01/2018 19;328.12;385.56
15/01/2018 20;328.12;385.56
15/01/2018 21;328.12;385.56
15/01/2018 22;328.12;385.56
15/01/2018 23;328.12;385.56
15/01/2018 24;328.14;385.56
16/01/2018 01;328.13;385.56
16/01/2018 02;328.14;385.56
16/01/2018 03;328.14;385.56
16/01/2018 04;328.14;385.56
16/01/2018 05;328.15;385.56
16/01/2018 06;328.15;385.56
16/01/2018 07;328.16;385.56
16/01/2018 08;328.16;385.46
16/01/2018 09;328.16;385.46
16/01/2018 10;328.17;385.46
16/01/2018 11;328.16;385.46
16/01/2018 12;328.17;385.46
16/01/2018 13;328.17;385.46
16/01/2018 14;328.17;385.46
16/01/2018 15;328.17;385.46
16/01/2018 16;328.17;385.46
16/01/2018 17;328.17;385.46
16/01/2018 18;328.19;385.46
16/01/2018 19;328.19;385.46
16/01/2018 20;328.19;385.46
16/01/2018 21;328.10;385.46
16/01/2018 22;328.20;385.46
16/01/2018 23;328.20;385.46
16/01/2018 24;328.20;385.46
17/01/2018 01;328.20;385.46
17/01/2018 02;328.21;385.46
17/01/2018 03;328.21;385.46
17/01/2018 04;328.21;385.46
17/01/2018 05;328.21;385.46
17/01/2018 06;328.21;385.46
17/01/2018 07;328.21;385.46
17/01/2018 08;328.23;385.46
17/01/2018 09;328.23;385.44
17/01/2018 10;328.23;385.44
17/01/2018 11;328.23;385.44
17/01/2018 12;328.23;385.44
17/01/2018 13;328.23;385.44
17/01/2018 14;328.23;385.44
17/01/2018 15;328.25;385.44
17/01/2018 16;328.25;385.44
17/01/2018 17;328.25;385.44
17/01/2018 18;328.26;385.44
17/01/2018 19;328.26;385.44
17/01/2018 20;328.26;385.44
17/01/2018 21;328.26;385.44
17/01/2018 22;328.26;385.44
17/01/2018 23;328.26;385.44
17/01/2018 24;328.26;385.44
18/01/2018 01;328.26;385.44
18/01/2018 02;328.28;385.44
18/01/2018 03;328.28;385.44
18/01/2018 04;328.28;385.44
18/01/2018 05;328.28;385.44
18/01/2018 06;328.28;385.44
18/01/2018 07;328.28;385.44
18/01/2018 08;328.28;385.44
18/01/2018 09;328.30;385.44
18/01/2018 10;328.30;385.44
18/01/2018 11;328.30;385.44
18/01/2018 12;328.30;385.44
18/01/2018 13;328.30;385.44
18/01/2018 14;328.30;385.44
18/01/2018 15;328.30;385.44
18/01/2018 16;328.32;385.44
18/01/2018 17;328.32;385.44
18/01/2018 18;328.32;385.44
18/01/2018 19;328.32;385.44
18/01/2018 20;328.32;385.44
18/01/2018 21;328.32;385.44
18/01/2018 22;328.32;385.44
18/01/2018 23;328.32;385.44
18/01/2018 24;328.32;385.44
19/01/2018 01;328.34;385.44
19/01/2018 02;328.34;385.44
19/01/2018 03;328.34;385.44
19/01/2018 04;328.34;385.44
19/01/2018 05;328.34;385.44
19/01/2018 06;328.34;385.44
19/01/2018 07;328.34;385.44
19/01/2018 08;328.36;385.34
19/01/2018 09;328.36;385.34
19/01/2018 10;328.36;385.34
19/01/2018 11;328.36;385.23
19/01/2018 12;328.36;385.12
19/01/2018 13;328.37;385.12
19/01/2018 14;328.37;385.12
19/01/2018 15;328.37;385.12
19/01/2018 16;328.37;385.12
19/01/2018 17;328.37;385.12
19/01/2018 18;328.37;385.12
19/01/2018 19;328.37;385.12
19/01/2018 20;328.37;385.12
19/01/2018 21;328.39;385.12
19/01/2018 22;328.39;385.12
19/01/2018 23;328.39;385.12
19/01/2018 24;328.39;385.12
20/01/2018 01;328.39;385.12
20/01/2018 02;328.39;385.12
20/01/2018 03;328.39;385.12
20/01/2018 04;328.39;385.12
20/01/2018 05;328.41;385.12
20/01/2018 06;328.41;385.12
20/01/2018 07;328.41;385.12
20/01/2018 08;328.41;385.12
20/01/2018 09;328.41;385.12
20/01/2018 10;328.41;385.12
20/01/2018 11;328.41;385.12
20/01/2018 12;328.41;385.12
20/01/2018 13;328.43;385.12
20/01/2018 14;328.43;385.12
20/01/2018 15;328.43;385.12
20/01/2018 16;328.43;385.12
20/01/2018 17;328.43;385.12
20/01/2018 18;328.43;385.12
20/01/2018 19;328.43;385.12
20/01/2018 20;328.43;385.01
20/01/2018 21;328.43;384.90
20/01/2018 22;328.45;384.90
20/01/2018 23;328.45;384.90
20/01/2018 24;328.45;384.90
21/01/2018 01;328.45;384.90
21/01/2018 02;328.46;384.90
21/01/2018 03;328.46;384.90
21/01/2018 04;328.46;384.90
21/01/2018 05;328.46;384.90
21/01/2018 06;328.46;384.90
21/01/2018 07;328.46;384.90
21/01/2018 08;328.46;384.90
21/01/2018 09;328.46;384.90
21/01/2018 10;328.46;384.90
21/01/2018 11;328.48;384.90
21/01/2018 12;328.48;384.77
21/01/2018 13;328.48;384.64
21/01/2018 14;328.48;384.64
21/01/2018 15;328.48;384.64
21/01/2018 16;328.48;384.64
21/01/2018 17;328.48;384.64
21/01/2018 18;328.48;384.64
21/01/2018 19;328.48;384.64
21/01/2018 20;328.50;384.64
21/01/2018 21;328.50;384.64
21/01/2018 22;328.50;384.64
21/01/2018 23;328.50;384.64
21/01/2018 24;328.50;384.69
22/01/2018 01;328.50;384.69
22/01/2018 02;328.50;384.69
22/01/2018 03;328.50;384.69
22/01/2018 04;328.50;384.69
22/01/2018 05;328.50;384.69
22/01/2018 06;328.52;384.69
22/01/2018 07;328.52;384.69
22/01/2018 08;328.52;384.69
22/01/2018 09;328.52;384.69
22/01/2018 10;328.52;384.69
22/01/2018 11;328.52;384.58
22/01/2018 12;328.53;384.48
22/01/2018 13;328.53;384.48
22/01/2018 14;328.53;384.48
22/01/2018 15;328.53;384.48
22/01/2018 16;328.53;384.48
22/01/2018 17;328.54;384.48
22/01/2018 18;328.54;384.48
22/01/2018 19;328.54;384.48
22/01/2018 20;328.54;384.48
22/01/2018 21;328.54;384.48
22/01/2018 22;328.54;384.48
22/01/2018 23;328.54;384.48
22/01/2018 24;328.54;384.48
23/01/2018 01;328.54;384.48
23/01/2018 02;328.56;384.48
23/01/2018 03;328.56;384.48
23/01/2018 04;328.56;384.48
23/01/2018 05;328.56;384.48
23/01/2018 06;328.56;384.48
23/01/2018 07;328.57;384.48
23/01/2018 08;328.57;384.48
23/01/2018 09;328.57;384.36
23/01/2018 10;328.57;384.24
23/01/2018 11;328.57;384.24
23/01/2018 12;328.57;384.24
23/01/2018 13;328.57;384.24
23/01/2018 14;328.57;384.24
23/01/2018 15;328.57;384.24
23/01/2018 16;328.57;384.24
23/01/2018 17;328.59;384.24
23/01/2018 18;328.59;384.24
23/01/2018 19;328.59;384.24
23/01/2018 20;328.59;384.24
23/01/2018 21;328.59;384.24
23/01/2018 22;328.59;384.24
23/01/2018 23;328.59;384.24
23/01/2018 24;328.59;384.24
24/01/2018 01;328.56;384.24
24/01/2018 02;328.47;384.24
24/01/2018 03;328.37;384.24
24/01/2018 04;328.28;384.24
24/01/2018 05;328.20;384.24
24/01/2018 06;328.21;384.24
24/01/2018 07;328.21;384.24
24/01/2018 08;328.22;384.06
24/01/2018 09;328.22;384.06
24/01/2018 10;328.22;384.06
24/01/2018 11;328.22;384.06
24/01/2018 12;328.23;384.06
24/01/2018 13;328.23;384.06
24/01/2018 14;328.23;384.06
24/01/2018 15;328.23;384.06
24/01/2018 16;328.23;384.06
24/01/2018 17;328.23;384.06
24/01/2018 18;328.25;384.06
24/01/2018 19;328.25;384.06
24/01/2018 20;328.25;384.06
24/01/2018 21;328.26;384.06
24/01/2018 22;328.26;384.06
24/01/2018 23;328.26;384.06
24/01/2018 24;328.24;384.06
25/01/2018 01;328.14;384.06
25/01/2018 02;328.04;384.06
25/01/2018 03;327.94;384.06
25/01/2018 04;327.85;384.06
25/01/2018 05;327.75;384.06
25/01/2018 06;327.75;384.06
25/01/2018 07;327.75;384.06
25/01/2018 08;327.75;384.06
25/01/2018 09;327.75;384.06
25/01/2018 10;327.77;384.06
25/01/2018 11;327.77;384.06
25/01/2018 12;327.77;384.06
25/01/2018 13;327.77;384.06
25/01/2018 14;327.77;384.06
25/01/2018 15;327.77;384.06
25/01/2018 16;327.79;384.06
25/01/2018 17;327.79;384.06
25/01/2018 18;327.79;384.06
25/01/2018 19;327.79;384.06
25/01/2018 20;327.79;384.06
25/01/2018 21;327.79;384.06
25/01/2018 22;327.79;384.06
25/01/2018 23;327.77;384.06
25/01/2018 24;327.67;384.06
26/01/2018 01;327.57;384.06
26/01/2018 02;327.50;384.06
26/01/2018 03;327.50;384.06
26/01/2018 04;327.50;384.06
26/01/2018 05;327.52;384.06
26/01/2018 06;327.52;384.06
26/01/2018 07;327.52;384.02
26/01/2018 08;327.52;384.02
26/01/2018 09;327.53;384.02
26/01/2018 10;327.54;384.02
26/01/2018 11;327.54;383.98
26/01/2018 12;327.55;383.98
26/01/2018 13;327.55;383.98
26/01/2018 14;327.56;383.98
26/01/2018 15;327.56;383.98
26/01/2018 16;327.56;383.98
26/01/2018 17;327.56;383.98
26/01/2018 18;327.57;383.98
26/01/2018 19;327.57;383.98
26/01/2018 20;327.57;383.98
26/01/2018 21;327.57;383.98
26/01/2018 22;327.57;383.98
26/01/2018 23;327.57;383.98
26/01/2018 24;327.59;383.98
27/01/2018 01;327.59;383.98
27/01/2018 02;327.59;383.98
27/01/2018 03;327.59;383.98
27/01/2018 04;327.61;383.98
27/01/2018 05;327.61;383.98
27/01/2018 06;327.61;383.98
27/01/2018 07;327.61;383.98
27/01/2018 08;327.61;383.98
27/01/2018 09;327.61;383.98
27/01/2018 10;327.61;383.98
27/01/2018 11;327.63;383.98
27/01/2018 12;327.63;383.98
27/01/2018 13;327.63;383.98
27/01/2018 14;327.64;383.98
27/01/2018 15;327.64;383.98
27/01/2018 16;327.64;383.98
27/01/2018 17;327.64;383.98
27/01/2018 18;327.64;383.98
27/01/2018 19;327.66;383.98
27/01/2018 20;327.66;383.98
27/01/2018 21;327.66;383.98
27/01/2018 22;327.66;383.98
27/01/2018 23;327.66;383.98
27/01/2018 24;327.66;383.98
28/01/2018 01;327.66;383.98
28/01/2018 02;327.68;383.98
28/01/2018 03;327.68;383.98
28/01/2018 04;327.68;383.98
28/01/2018 05;327.68;383.98
28/01/2018 06;327.68;383.98
28/01/2018 07;327.68;383.80
28/01/2018 08;327.68;383.80
28/01/2018 09;327.70;383.80
28/01/2018 10;327.70;383.80
28/01/2018 11;327.70;383.80
28/01/2018 12;327.70;383.80
28/01/2018 13;327.70;383.80
28/01/2018 14;327.70;383.80
28/01/2018 15;327.70;383.80
28/01/2018 16;327.72;383.80
28/01/2018 17;327.72;383.80
28/01/2018 18;327.72;383.80
28/01/2018 19;327.72;383.80
28/01/2018 20;327.72;383.80
28/01/2018 21;327.72;383.80
28/01/2018 22;327.72;383.80
28/01/2018 23;327.72;383.80
28/01/2018 24;327.74;383.80
29/01/2018 01;327.74;383.69
29/01/2018 02;327.74;383.69
29/01/2018 03;327.72;383.69
29/01/2018 04;327.66;383.69
29/01/2018 05;327.61;383.69
29/01/2018 06;327.61;383.69
29/01/2018 07;327.63;383.69
29/01/2018 08;327.63;383.69
29/01/2018 09;327.63;383.71
29/01/2018 10;327.64;383.71
29/01/2018 11;327.64;383.71
29/01/2018 12;327.64;383.71
29/01/2018 13;327.65;383.71
29/01/2018 14;327.65;383.71
29/01/2018 15;327.65;383.71
29/01/2018 16;327.66;383.71
29/01/2018 17;327.66;383.71
29/01/2018 18;327.66;383.71
29/01/2018 19;327.66;383.71
29/01/2018 20;327.66;383.71
29/01/2018 21;327.66;383.71
29/01/2018 22;327.68;383.71
29/01/2018 23;327.68;383.71
29/01/2018 24;327.68;383.71
30/01/2018 01;327.68;383.71
30/01/2018 02;327.68;383.71
30/01/2018 03;327.68;383.71
30/01/2018 04;327.68;383.71
30/01/2018 05;327.70;383.71
30/01/2018 06;327.70;383.71
30/01/2018 07;327.70;383.71
30/01/2018 08;327.70;383.71
30/01/2018 09;327.71;383.71
30/01/2018 10;327.71;383.71
30/01/2018 11;327.72;383.71
30/01/2018 12;327.72;383.71
30/01/2018 13;327.72;383.71
30/01/2018 14;327.72;383.71
30/01/2018 15;327.72;383.71
30/01/2018 16;327.72;383.71
30/01/2018 17;327.72;383.71
30/01/2018 18;327.74;383.71
30/01/2018 19;327.74;383.71
30/01/2018 20;327.74;383.71
30/01/2018 21;327.74;383.71
30/01/2018 22;327.75;383.71
30/01/2018 23;327.75;383.71
30/01/2018 24;327.72;383.71
31/01/2018 01;327.68;383.71
31/01/2018 02;327.62;383.71
31/01/2018 03;327.57;383.71
31/01/2018 04;327.52;383.71
31/01/2018 05;327.52;383.71
31/01/2018 06;327.54;383.71
31/01/2018 07;327.54;383.71
31/01/2018 08;327.55;383.72
31/01/2018 09;327.55;383.72
31/01/2018 10;327.55;383.72
31/01/2018 11;327.55;383.72
31/01/2018 12;327.55;383.72
31/01/2018 13;327.55;383.72
31/01/2018 14;327.55;383.72
31/01/2018 15;327.57;383.72
31/01/2018 16;327.57;383.72
31/01/2018 17;327.57;383.72
31/01/2018 18;327.57;383.72
31/01/2018 19;327.57;383.72
31/01/2018 20;327.57;383.72
